DATE,LAI,FAPAR,FG
2017-03-24,1.2008064516129033,0.5049596774193549,0.9299493907180949
2017-03-25,1.1943548387096776,0.5006048387096774,0.9286162462909227
2017-03-26,1.185483870967742,0.4955645161290323,0.9273483940418822
2017-03-27,1.174193548387097,0.48983870967741944,0.9261458339709743
2017-03-28,1.160483870967742,0.4834274193548387,0.9250085660781991
2017-03-29,1.1443548387096774,0.4763306451612903,0.9239365903635561
2017-03-30,1.1258064516129034,0.46854838709677415,0.9229299068270458
2017-03-31,1.1068548387096773,0.46084677419354847,0.9224185101103464
2017-04-01,1.0881048387096774,0.45344758064516133,0.9225376474935328
2017-04-02,1.0695564516129035,0.44635080645161296,0.923287318976605
2017-04-03,1.051209677419355,0.4395564516129031,0.9246675245595626
2017-04-04,1.0330645161290324,0.4330645161290323,0.9266782642424062
2017-04-05,1.0151209677419353,0.42687499999999995,0.9293195380251356
2017-04-06,0.9973790322580646,0.4209879032258065,0.9325913459077503
2017-04-07,0.9798387096774194,0.4154032258064516,0.9364936878902508
2017-04-08,0.9629032258064518,0.40991935483870967,0.9400947752033209
2017-04-09,0.9465725806451614,0.4045362903225806,0.9433946078469597
2017-04-10,0.9308467741935486,0.3992540322580645,0.946393185821168
2017-04-11,0.9157258064516132,0.3940725806451613,0.9490905091259458
2017-04-12,0.9012096774193548,0.388991935483871,0.9514865777612923
2017-04-13,0.8872983870967742,0.3840120967741935,0.9535813917272087
2017-04-14,0.8739919354838711,0.379133064516129,0.9553749510236943
2017-04-15,0.8612903225806454,0.37435483870967745,0.9568672556507484
2017-04-16,0.848790322580645,0.3697177419354839,0.958468412524844
2017-04-17,0.8366935483870968,0.36520161290322584,0.9599286565930738
2017-04-18,0.8250000000000001,0.36080645161290326,0.9612479878554374
2017-04-19,0.8137096774193552,0.3565322580645162,0.9624264063119359
2017-04-20,0.8028225806451611,0.35237903225806455,0.9634639119625684
2017-04-21,0.7923387096774195,0.34834677419354837,0.9643605048073346
2017-04-22,0.7822580645161291,0.34443548387096773,0.9651161848462356
2017-04-23,0.7725806451612902,0.3406451612903226,0.965730952079271
2017-04-24,0.7637096774193548,0.3370564516129032,0.9662312015394733
2017-04-25,0.7556451612903228,0.33370967741935487,0.9666107178812866
2017-04-26,0.7483870967741935,0.33060483870967744,0.96686950110471
2017-04-27,0.7419354838709677,0.327741935483871,0.9670075512097435
