,TIMESTAMP,DATE,TOD,LAI,TA_F,SW_IN_F,LST,LE,H,TSEB_QC,NETRAD
34621,2020-12-22 06:45:00,2020-12-22,6.75,1.033467741935484,277.65299999999996,0.0,277.5881583757856,0.0,-37.073166,5,-43.049949645996094
34622,2020-12-22 07:15:00,2020-12-22,7.25,1.033467741935484,276.435,0.0,276.8065911414141,0.0,-36.525024,5,-44.69150352478027
34623,2020-12-22 07:45:00,2020-12-22,7.75,1.033467741935484,276.358,0.0,276.3084601908548,0.0,-36.22837,5,-44.4404411315918
34624,2020-12-22 08:15:00,2020-12-22,8.25,1.033467741935484,276.50399999999996,1.018,276.44386499454254,0.0,-29.535328,5,-35.864224592518696
34625,2020-12-22 08:45:00,2020-12-22,8.75,1.033467741935484,276.094,23.392,276.3211912364315,0.0,-17.041548,5,-19.12088003480981
34626,2020-12-22 09:15:00,2020-12-22,9.25,1.033467741935484,278.534,71.115,278.23075912194855,11.842796,-1.2086396,0,15.368510534300398
34627,2020-12-22 09:45:00,2020-12-22,9.75,1.033467741935484,281.015,137.951,280.77743241664984,36.36493,6.030172,0,50.99094261844894
34628,2020-12-22 10:15:00,2020-12-22,10.25,1.033467741935484,282.786,233.729,282.6047758742012,74.156784,17.28181,0,101.4028148996859
34629,2020-12-22 10:45:00,2020-12-22,10.75,1.033467741935484,284.938,313.484,284.69804938900745,122.38135,26.869879,0,160.91992623906694
34630,2020-12-22 11:15:00,2020-12-22,11.25,1.033467741935484,286.902,380.789,286.7082087792515,167.61063,33.753937,0,213.8405341374047
34631,2020-12-22 11:45:00,2020-12-22,11.75,1.033467741935484,289.056,456.853,288.750979145777,228.06725,39.263107,0,275.791100811946
34632,2020-12-22 12:15:00,2020-12-22,12.25,1.033467741935484,289.239,446.229,289.4723796251753,212.12238,35.47815,0,266.8666125860196
34633,2020-12-22 12:45:00,2020-12-22,12.75,1.033467741935484,289.873,484.616,290.41678768962163,237.41245,40.559338,0,295.8615411155206
34634,2020-12-22 13:15:00,2020-12-22,13.25,1.033467741935484,291.395,502.341,291.6122234619546,258.21756,35.011684,0,307.86226647670105
34635,2020-12-22 13:45:00,2020-12-22,13.75,1.033467741935484,291.553,497.077,291.90913881127096,255.62587,35.950584,0,302.7359271520589
34636,2020-12-22 14:15:00,2020-12-22,14.25,1.033467741935484,291.59,475.406,292.1311528033773,240.05702,36.507393,0,282.9369880795292
34637,2020-12-22 14:45:00,2020-12-22,14.75,1.033467741935484,292.17999999999995,441.983,292.42398390993645,220.71533,29.172834,0,251.8815218083588
34638,2020-12-22 15:15:00,2020-12-22,15.25,1.033467741935484,292.772,391.001,292.5462913971992,187.59427,20.2552,0,207.14593775602344
34639,2020-12-22 15:45:00,2020-12-22,15.75,1.033467741935484,293.407,328.345,292.43621365072585,145.44196,8.508314,0,152.40170566644596
34640,2020-12-22 16:15:00,2020-12-22,16.25,1.033467741935484,293.472,254.854,291.78722686112997,96.459435,-1.2262344,0,93.71503583128379
34641,2020-12-22 16:45:00,2020-12-22,16.75,1.033467741935484,293.15099999999995,168.869,290.82559128011735,40.792027,-10.90061,0,28.34492109543676
34642,2020-12-22 17:15:00,2020-12-22,17.25,1.033467741935484,291.39,55.313,288.9295775339478,-26.562925,-16.591597,0,-45.489489721623904
34643,2020-12-22 17:45:00,2020-12-22,17.75,1.033467741935484,288.931,5.593,286.99823723945616,0.0,-53.48958,5,-65.42030895009785
34644,2020-12-22 18:15:00,2020-12-22,18.25,1.033467741935484,288.45599999999996,0.0,286.24577629980456,0.0,-55.435272,5,-68.12631416320801
34645,2020-12-22 18:45:00,2020-12-22,18.75,1.033467741935484,287.24899999999997,0.0,285.0347622400271,0.0,-51.959694,5,-64.26228713989258
34646,2020-12-22 19:15:00,2020-12-22,19.25,1.033467741935484,285.05499999999995,0.0,283.9754230680148,0.0,-59.972343,5,-69.40789985656738
34647,2020-12-22 19:45:00,2020-12-22,19.75,1.033467741935484,284.05499999999995,0.0,283.29304141762293,0.0,-58.151623,5,-67.80019760131836
34648,2020-12-22 20:15:00,2020-12-22,20.25,1.033467741935484,283.36899999999997,0.0,282.671948680651,0.0,-53.234325,5,-65.07590103149414
34649,2020-12-22 20:45:00,2020-12-22,20.75,1.033467741935484,282.87,0.0,282.4093893949639,0.0,-60.303795,5,-70.13268280029297
34650,2020-12-22 21:15:00,2020-12-22,21.25,1.033467741935484,282.313,0.0,281.89987778612704,0.0,-57.48635,5,-67.85606384277344
34651,2020-12-22 21:45:00,2020-12-22,21.75,1.033467741935484,281.262,0.0,281.0748731106602,0.0,-51.26453,5,-63.17057800292969
34652,2020-12-22 22:15:00,2020-12-22,22.25,1.033467741935484,280.83,0.0,280.7079747558488,0.0,-45.744568,5,-56.126243591308594
34653,2020-12-22 22:45:00,2020-12-22,22.75,1.033467741935484,280.40999999999997,0.0,280.3707505595837,0.0,-45.62225,5,-56.151206970214844
34654,2020-12-22 23:15:00,2020-12-22,23.25,1.033467741935484,280.17699999999996,0.0,279.92963760989807,0.0,-40.021767,5,-49.46065330505371
34655,2020-12-22 23:45:00,2020-12-22,23.75,1.033467741935484,279.666,0.0,279.73368491932086,0.0,-35.42176,5,-41.36935234069824
34656,2020-12-23 00:15:00,2020-12-23,0.25,1.0381048387096774,279.347,0.0,279.3806871920121,0.0,-30.643951,5,-37.27146530151367
34657,2020-12-23 00:45:00,2020-12-23,0.75,1.0381048387096774,279.046,0.0,279.05533905731534,0.0,-29.221727,5,-35.43213653564453
34658,2020-12-23 01:15:00,2020-12-23,1.25,1.0381048387096774,278.88899999999995,0.0,278.89074617609873,0.0,-29.984726,5,-34.89448356628418
34659,2020-12-23 01:45:00,2020-12-23,1.75,1.0381048387096774,278.53,0.0,278.5992134921748,0.0,-26.497095,5,-32.16804313659668
34660,2020-12-23 02:15:00,2020-12-23,2.25,1.0381048387096774,278.12,0.0,278.24844916437905,0.0,-26.443699,5,-32.16645336151123
34661,2020-12-23 02:45:00,2020-12-23,2.75,1.0381048387096774,278.02,0.0,278.13367325417533,0.0,-25.736855,5,-31.046330451965332
34662,2020-12-23 03:15:00,2020-12-23,3.25,1.0381048387096774,277.78499999999997,0.0,277.88930103334224,0.0,-24.561848,5,-29.766042709350586
34663,2020-12-23 03:45:00,2020-12-23,3.75,1.0381048387096774,277.623,0.0,277.4752352717524,0.0,-24.365847,5,-29.650290489196777
34664,2020-12-23 04:15:00,2020-12-23,4.25,1.0381048387096774,277.178,0.0,277.27584394563434,0.0,-23.659288,5,-28.764394760131836
34665,2020-12-23 04:45:00,2020-12-23,4.75,1.0381048387096774,277.28,0.0,277.35173677967646,0.0,-23.496582,5,-28.34734344482422
34666,2020-12-23 05:15:00,2020-12-23,5.25,1.0381048387096774,276.916,0.0,276.9535975122295,0.0,-22.350155,5,-27.106263160705566
34667,2020-12-23 05:45:00,2020-12-23,5.75,1.0381048387096774,276.522,0.0,276.85368155854565,0.0,-20.570683,5,-24.82087230682373
34668,2020-12-23 06:15:00,2020-12-23,6.25,1.0381048387096774,276.618,0.0,276.7348936026668,0.0,-21.998362,5,-26.5925350189209
34669,2020-12-23 06:45:00,2020-12-23,6.75,1.0381048387096774,276.825,0.0,276.77232807826346,0.0,-27.375471,5,-31.49501895904541
34670,2020-12-23 07:15:00,2020-12-23,7.25,1.0381048387096774,276.897,0.0,276.9908163826747,0.0,-27.466091,5,-33.200387954711914
34671,2020-12-23 07:45:00,2020-12-23,7.75,1.0381048387096774,276.085,0.0,276.283624256168,0.0,-28.805168,5,-34.839155197143555
34672,2020-12-23 08:15:00,2020-12-23,8.25,1.0381048387096774,276.07899999999995,0.983,276.15109398903303,0.0,-29.483871,5,-34.21442569326988
34673,2020-12-23 08:45:00,2020-12-23,8.75,1.0381048387096774,276.268,32.248,276.3765135249215,0.0,-11.294109,5,-12.21093978414553
34674,2020-12-23 09:15:00,2020-12-23,9.25,1.0381048387096774,277.527,142.821,277.6204466818444,38.916893,19.896753,0,61.23480809320246
34675,2020-12-23 09:45:00,2020-12-23,9.75,1.0381048387096774,279.31699999999995,249.428,279.601297615939,88.291626,42.10211,0,133.89720796903651
34676,2020-12-23 10:15:00,2020-12-23,10.25,1.0381048387096774,281.145,337.459,281.35342878515337,129.3034,54.202484,0,185.91008824744296
34677,2020-12-23 10:45:00,2020-12-23,10.75,1.0381048387096774,282.55499999999995,412.253,283.17930466931955,166.76213,62.533443,0,233.77501907501727
34678,2020-12-23 11:15:00,2020-12-23,11.25,1.0381048387096774,283.86899999999997,472.358,284.9874414915069,203.07237,71.62316,0,280.80432449964985
34679,2020-12-23 11:45:00,2020-12-23,11.75,1.0381048387096774,285.10699999999997,513.706,286.6362851178229,230.54163,77.638214,0,316.36120738409255
34680,2020-12-23 12:15:00,2020-12-23,12.25,1.0381048387096774,286.613,541.236,288.1428313827052,252.42348,71.99813,0,336.9226825160198
