SR_WL	O2	O3	O4	O5	O6	O7	O8	O9	O10	O11	O12	O16	O17	O18	O21	S5	S6
616	0	0	0	0	0	0.786607	0	0	0	0	0	0	0	0	0	0	0
617	0	0	0	0	0	0.96754	0	0	0	0	0	0	0	0	0	0	0
618	0	0	0	0	0	0.981388	0	0	0	0	0	0	0	0	0	0	0
619	0	0	0	0	0	0.98507	0	0	0	0	0	0	0	0	0	0	0
620	0	0	0	0	0	0.989438	0	0	0	0	0	0	0	0	0	0	0
621	0	0	0	0	0	0.99414	0	0	0	0	0	0	0	0	0	0	0
622	0	0	0	0	0	0.998443	0	0	0	0	0	0	0	0	0	0	0
623	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
624	0	0	0	0	0	0.973784	0	0	0	0	0	0	0	0	0	0	0
625	0	0	0	0	0	0.684719	0	0	0	0	0	0	0	0	0	0	0
626	0	0	0	0	0	0.193675	0	0	0	0	0	0	0	0	0	0	0
627	0	0	0	0	0	0.012714	0	0	0	0	0	0	0	0	0	0	0
628	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0
629	0	0	0	0	0	3E-06	0	0	0	0	0	0	0	0	0	0	0
630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
657	0	0	0	0	0	0	1.6E-05	0	0	0	0	0	0	0	0	0	0
658	0	0	0	0	0	0	0.001555	0	0	0	0	0	0	0	0	0	0
659	0	0	0	0	0	0	0.037724	0	0	0	0	0	0	0	0	0	0
660	0	0	0	0	0	0	0.360108	0	0	0	0	0	0	0	0	0	0
661	0	0	0	0	0	0	0.827534	0	0	0	0	0	0	0	0	0	0
662	0	0	0	0	0	0	0.974524	0	0	0	0	0	0	0	0	0	0
663	0	0	0	0	0	0	0.985937	0	0	0	0	0	0	0	0	0	0
664	0	0	0	0	0	0	0.988635	0	0	0	0	0	0	0	0	0	0
665	0	0	0	0	0	0	0.993255	0	0	0	0	0	0	0	0	0	0
666	0	0	0	0	0	0	0.996672	0	0	0	0	0	0	0	0	0	0
667	0	0	0	0	0	0	0.99923	1.7E-05	0	0	0	0	0	0	0	0	0
668	0	0	0	0	0	0	1	0.00134	0	0	0	0	0	0	0	0	0
669	0	0	0	0	0	0	0.966401	0.038095	0	0	0	0	0	0	0	0	0
670	0	0	0	0	0	0	0.644726	0.336148	0	0	0	0	0	0	0	0	0
671	0	0	0	0	0	0	0.130936	0.861195	0	0	0	0	0	0	0	0	0
672	0	0	0	0	0	0	0.009032	0.988459	0	0	0	0	0	0	0	0	0
673	0	0	0	0	0	0	0.000153	0.998036	0	0	0	0	0	0	0	0	0
674	0	0	0	0	0	0	1E-06	0.999769	1E-06	0	0	0	0	0	0	0	0
675	0	0	0	0	0	0	0	1	0.000118	0	0	0	0	0	0	0	0
676	0	0	0	0	0	0	0	0.995115	0.008152	0	0	0	0	0	0	0	0
677	0	0	0	0	0	0	0	0.87387	0.132977	0	0	0	0	0	0	0	0
678	0	0	0	0	0	0	0	0.388274	0.612526	0	0	0	0	0	0	0	0
679	0	0	0	0	0	0	0	0.049127	0.940342	0	0	0	0	0	0	0	0
680	0	0	0	0	0	0	0	0.001379	0.988342	0	0	0	0	0	0	0	0
681	0	0	0	0	0	0	0	1.8E-05	0.993896	0	0	0	0	0	0	0	0
682	0	0	0	0	0	0	0	0	0.997777	0	0	0	0	0	0	0	0
683	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
684	0	0	0	0	0	0	0	0	0.973042	0	0	0	0	0	0	0	0
685	0	0	0	0	0	0	0	0	0.667558	0	0	0	0	0	0	0	0
686	0	0	0	0	0	0	0	0	0.161167	0	0	0	0	0	0	0	0
687	0	0	0	0	0	0	0	0	0.010873	0	0	0	0	0	0	0	0
688	0	0	0	0	0	0	0	0	0.000247	0	0	0	0	0	0	0	0
689	0	0	0	0	0	0	0	0	2E-06	0	0	0	0	0	0	0	0
690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
